,branch,PT,TY,LAB,lambda3,L2-NORM,U(1),U(2),U(3),U(4),U(5),lambda4
46,3,46,0,0,0.0027048726607,1.8371665105,0.63536432582,0.13468302932,1.7024810349,0.23307735584,0.023749988309,-0.42599143693
47,3,47,0,0,0.0027684793443,1.8371665749,0.63536433886,0.13468302806,1.7024810987,0.23307736251,0.023749987709,-0.4359912337
48,3,48,0,0,0.0028321020226,1.8371666392,0.6353643519,0.1346830268,1.7024811625,0.23307736919,0.023749987108,-0.44599103037
49,3,49,0,0,0.0028957407017,1.8371667036,0.63536436495,0.13468302554,1.7024812263,0.23307737587,0.023749986508,-0.45599082693
50,3,50,0,0,0.0029593953887,1.8371667681,0.635364378,0.13468302429,1.7024812901,0.23307738255,0.023749985907,-0.46599062339
51,3,51,0,0,0.0030230660913,1.8371668325,0.63536439105,0.13468302303,1.702481354,0.23307738924,0.023749985306,-0.47599041975
52,3,52,0,0,0.0030867528097,1.8371668969,0.63536440411,0.13468302177,1.7024814179,0.23307739592,0.023749984705,-0.48599021601
53,3,53,0,0,0.0031504555589,1.8371669614,0.63536441717,0.13468302051,1.7024814817,0.23307740261,0.023749984104,-0.49599001217
54,3,54,0,0,0.0032141743381,1.8371670259,0.63536443023,0.13468301925,1.7024815456,0.23307740929,0.023749983502,-0.50598980822
55,3,55,0,0,0.0032779091555,1.8371670903,0.6353644433,0.13468301799,1.7024816095,0.23307741598,0.023749982901,-0.51598960416
56,3,56,0,0,0.0033416600174,1.8371671548,0.63536445637,0.13468301673,1.7024816734,0.23307742268,0.023749982299,-0.52598940001
57,3,57,0,0,0.0034054269263,1.8371672194,0.63536446944,0.13468301547,1.7024817374,0.23307742937,0.023749981697,-0.53598919575
58,3,58,0,0,0.0034692098931,1.8371672839,0.63536448252,0.13468301421,1.7024818013,0.23307743606,0.023749981095,-0.54598899139
59,3,59,0,0,0.0035330089244,1.8371673485,0.63536449559,0.13468301295,1.7024818653,0.23307744276,0.023749980493,-0.55598878692
60,3,60,0,0,0.003596824022,1.837167413,0.63536450867,0.13468301168,1.7024819293,0.23307744946,0.023749979891,-0.56598858236
61,3,61,0,0,0.0036606551943,1.8371674776,0.63536452176,0.13468301042,1.7024819933,0.23307745616,0.023749979289,-0.57598837768
62,3,62,0,0,0.0037245024453,1.8371675422,0.63536453485,0.13468300916,1.7024820573,0.23307746286,0.023749978686,-0.58598817291
63,3,63,0,0,0.0037883657847,1.8371676068,0.63536454794,0.1346830079,1.7024821213,0.23307746956,0.023749978084,-0.59598796803
64,3,64,0,0,0.0038522452196,1.8371676714,0.63536456103,0.13468300663,1.7024821854,0.23307747626,0.023749977481,-0.60598776304
65,3,65,0,0,0.0039161407491,1.8371677361,0.63536457413,0.13468300537,1.7024822494,0.23307748297,0.023749976878,-0.61598755796
66,3,66,0,0,0.0039800523845,1.8371678007,0.63536458723,0.13468300411,1.7024823135,0.23307748968,0.023749976275,-0.62598735277
