,branch,PT,TY,LAB,V_plc,L2-NORM,PERIOD,PAR(5),PAR(6),PAR(7),PAR(8),PAR(40),PAR(41),PAR(42),PAR(43),PAR(80)
516,-5,516,0,0,0.058643694852,3.4539710172,140.50637093,0.27154825954,3.5526852894,0.38472726972,0.048970780544,0.070543709776,3.1669708245,0.048443737833,0.01961773712,3.0
517,-5,517,0,0,0.05864319723,3.4576141227,139.70282046,0.27592232832,3.5548180679,0.38354771743,0.049041023354,0.070651884306,3.1741359308,0.047026373251,0.019657685294,3.0
518,-5,518,0,0,0.058642560491,3.4612689666,138.8830666,0.28002829917,3.5569491964,0.38237569481,0.049098238798,0.070761543675,3.1813417855,0.045739132841,0.019698303073,3.0
519,-5,519,0,0,0.058641785143,3.4649339795,138.04829823,0.28390021163,3.5590879698,0.38120144116,0.049144684717,0.070872784329,3.1885742759,0.044555814069,0.019739363817,3.0
520,-5,520,0,0,0.058640871444,3.468607986,137.19937622,0.28755192571,3.5612346762,0.38005061752,0.049182008483,0.07098528324,3.1958233041,0.043463910509,0.019780800462,3.0
521,-5,521,0,0,0.058639819475,3.4722900671,136.33693383,0.29104127477,3.5633917585,0.37890181886,0.049212971713,0.071098656101,3.2030807313,0.042448293555,0.019822373998,3.0
522,-5,522,0,0,0.058638629188,3.4759794771,135.46144,0.29435566393,3.5655592957,0.37776803921,0.049237057988,0.071212780746,3.2103378158,0.041499885191,0.019864131239,3.0
523,-5,523,0,0,0.058637300443,3.4796755901,134.57324061,0.29752746359,3.5677332683,0.37662968161,0.049255827289,0.071327667637,3.2175925273,0.040609073553,0.019906089743,3.0
524,-5,524,0,0,0.058635833031,3.483377864,133.67258632,0.30055045649,3.5699258466,0.3754979851,0.049269371175,0.071442828801,3.2248405984,0.039770106216,0.019948169451,3.0
525,-5,525,0,0,0.058634226691,3.4870858159,132.75965161,0.30347681374,3.5721308688,0.37435855409,0.049280069845,0.071558335559,3.2320755572,0.038976931459,0.019990350279,3.0
526,-5,526,0,0,0.058632481131,3.4907990052,131.83454813,0.30627840305,3.5743497007,0.37324088169,0.049286295074,0.071674325082,3.2392987993,0.038224927329,0.020032121636,3.0
527,-5,527,0,0,0.058630596034,3.4945170201,130.89733409,0.30897101129,3.5765776065,0.372124884,0.049290233131,0.07179026484,3.2465051305,0.037510634933,0.020074200168,3.0
528,-5,528,0,0,0.058628571067,3.498239468,129.94802079,0.31156578114,3.5788183818,0.37102020809,0.049290645885,0.07190636703,3.2536944501,0.036830671111,0.020116330299,3.0
529,-5,529,0,0,0.058626405895,3.5019659675,128.98657715,0.31407983945,3.58107777,0.36991104957,0.049289473341,0.072022770342,3.2608649807,0.036180837379,0.02015826526,3.0
530,-5,530,0,0,0.05862410018,3.5056961421,128.01293264,0.3165062513,3.5833498791,0.36880268816,0.049285909475,0.072139279527,3.2680145979,0.035559576793,0.020200078144,3.0
531,-5,531,0,0,0.058621653591,3.5094296145,127.02697901,0.31886065755,3.5856355015,0.36769383384,0.049279951811,0.072255470124,3.2751427563,0.034965807444,0.020241924104,3.0
532,-5,532,0,0,0.05861906581,3.5131660013,126.02857095,0.32112372685,3.5879209413,0.36659174087,0.049273332192,0.072371791379,3.2822488977,0.034395958772,0.020283911657,3.0
533,-5,533,0,0,0.058616336534,3.5169049087,125.0175259,0.32333262941,3.5902286877,0.36551638193,0.049264263879,0.072488334476,3.2893310018,0.033848195002,0.020325357048,3.0
534,-5,534,0,0,0.05861346548,3.5206459276,123.99362299,0.32547057413,3.592563083,0.36442664953,0.049254557603,0.072604433752,3.2963889059,0.033322120225,0.020366840876,3.0
535,-5,535,0,0,0.058610452393,3.5243886284,122.95660123,0.3275327209,3.5949167569,0.36334415028,0.049243355047,0.072720513117,3.3034223937,0.032816454531,0.020408426034,3.0
536,-5,536,0,0,0.058607297048,3.5281325566,121.90615678,0.32953703343,3.597271094,0.36225109198,0.049231409373,0.072836779688,3.3104309094,0.032329159539,0.020449695026,3.0
