,branch,PT,TY,LAB,V_plc,L2-NORM,PERIOD,PAR(4),PAR(5),PAR(6),PAR(7),PAR(8),PAR(31),PAR(32),PAR(33),PAR(34),PAR(35),PAR(80)
795,-1,795,0,0,0.85565057774,1.0915599746,65.957033383,1.0,0.4336142553,0.60937886308,0.17311176871,0.16005184462,1.0,0.06338864836,0.27452667193,0.022194503043,0.10768101585,4.0
796,-1,796,0,0,0.855917816,1.091498762,65.981254841,1.0,0.43325270839,0.60890323203,0.17300133905,0.16006298176,1.0,0.063423150462,0.27451456233,0.022263067216,0.10773895269,4.0
797,-1,797,0,0,0.85618521445,1.0914380045,66.005634731,1.0,0.43296392326,0.60842787392,0.17289071673,0.16007417857,1.0,0.063458098182,0.2745506567,0.022329224566,0.10779602137,4.0
798,-1,798,0,0,0.85645276189,1.0913777057,66.030177027,1.0,0.4326424959,0.60795898813,0.17278005845,0.16008519637,1.0,0.063492903995,0.27458902699,0.022395254676,0.10785289454,4.0
799,-1,799,0,0,0.85672044411,1.0913178689,66.054885762,1.0,0.43230270879,0.60749085971,0.17267028549,0.16009653393,1.0,0.063528568557,0.2746131087,0.022460246002,0.1079077398,4.0
800,-1,800,0,0,0.85698824408,1.0912584975,66.079765013,1.0,0.43200624452,0.60702398818,0.17256098856,0.16010700508,1.0,0.063562994395,0.27462325711,0.022523952711,0.10796408552,4.0
801,-1,801,0,0,0.85725614148,1.0911995948,66.104818906,1.0,0.43167708602,0.60656205901,0.17245110643,0.16011729591,1.0,0.063597266408,0.27463556366,0.022587498264,0.10802022053,4.0
802,-1,802,0,0,0.85752411337,1.0911411641,66.130051646,1.0,0.43137088184,0.60610180149,0.17234224028,0.16012714938,1.0,0.063631758236,0.27465724548,0.022648316935,0.10807585152,4.0
803,-1,803,0,0,0.85779213426,1.0910832088,66.155467494,1.0,0.43102644731,0.60564437209,0.17223474865,0.16013689548,1.0,0.063665691946,0.27467223148,0.022711717531,0.10813152156,4.0
804,-1,804,0,0,0.85806017554,1.091025732,66.181070759,1.0,0.43069188254,0.6051889388,0.1721258756,0.16014645901,1.0,0.06369946154,0.27468933171,0.022774939226,0.10818696626,4.0
805,-1,805,0,0,0.85832820627,1.0909687373,66.206865833,1.0,0.43037142028,0.60473592986,0.17201881418,0.16015422343,1.0,0.063732749633,0.27471503388,0.022836140356,0.10824238611,4.0
806,-1,806,0,0,0.85859619352,1.0909122278,66.232857186,1.0,0.43010154894,0.60428946176,0.17191181695,0.16016314712,1.0,0.063766203934,0.27473375346,0.022899271401,0.10829738301,4.0
807,-1,807,0,0,0.85886410154,1.0908562069,66.259049332,1.0,0.42982127276,0.6038422735,0.17180538345,0.16017378153,1.0,0.063799484659,0.2747545367,0.022962206006,0.10835213942,4.0
808,-1,808,0,0,0.85913189268,1.090800678,66.28544687,1.0,0.42950501164,0.60339964239,0.17169866352,0.16018595355,1.0,0.063833585481,0.27481499026,0.023024996105,0.10840536662,4.0
809,-1,809,0,0,0.8593995279,1.0907456446,66.312054503,1.0,0.42921399762,0.60296050054,0.17159363224,0.16019678387,1.0,0.063866434671,0.27482795978,0.023087725707,0.10845939083,4.0
810,-1,810,0,0,0.85966696552,1.0906911102,66.33887693,1.0,0.42888888601,0.60252248282,0.17148810896,0.16020740601,1.0,0.063899097985,0.27484292189,0.023150240213,0.10851315275,4.0
811,-1,811,0,0,0.8599341626,1.0906370784,66.365918942,1.0,0.42861426297,0.60208971694,0.17138373797,0.16021805723,1.0,0.063930729833,0.27485078963,0.023214093935,0.10856702991,4.0
812,-1,812,0,0,0.86020107563,1.0905835527,66.393185464,1.0,0.42829290704,0.60165839063,0.17127923906,0.16022807846,1.0,0.063963111384,0.27487403237,0.023276396079,0.10862036262,4.0
813,-1,813,0,0,0.86046765894,1.0905305369,66.420681381,1.0,0.42794437945,0.60123040816,0.171175389,0.16023788747,1.0,0.06399529836,0.27489922127,0.023338463935,0.10867341691,4.0
814,-1,814,0,0,0.86073386651,1.0904780347,66.448411675,1.0,0.42771039237,0.60080667402,0.171072563,0.16024681751,1.0,0.064027313223,0.2749309227,0.0234041105,0.10872579858,4.0
815,-1,815,0,0,0.86099965111,1.0904260502,66.476381354,1.0,0.42736395404,0.60038633856,0.17097026792,0.16025596256,1.0,0.06405906871,0.27496178598,0.02346366143,0.10877823089,4.0
816,-1,816,0,0,0.86126496566,1.0903745872,66.504595483,1.0,0.4271250759,0.59996723976,0.17086802752,0.16026489145,1.0,0.06409061728,0.27499453935,0.023522943772,0.10883036447,4.0
817,-1,817,0,0,0.86152976304,1.0903236497,66.533059209,1.0,0.42680558239,0.59955361435,0.17076637992,0.16027197885,1.0,0.064122769967,0.27499568156,0.023579304271,0.10888400306,4.0
818,-1,818,0,0,0.86179399635,1.090273242,66.561777621,1.0,0.42654093402,0.59914292304,0.17066586887,0.160282255,1.0,0.064154023329,0.27502271057,0.023638337698,0.10893565602,4.0
819,-1,819,0,0,0.86205761837,1.0902233682,66.59075582,1.0,0.42629643138,0.5987364328,0.17056603104,0.16029330429,1.0,0.064185060314,0.27505155609,0.023697081313,0.10898699282,4.0
820,-1,820,0,0,0.86232058318,1.0901740326,66.619998936,1.0,0.42597163057,0.59833274227,0.17046643341,0.16030464607,1.0,0.064221214731,0.27509817957,0.02375495905,0.10903770404,4.0
821,-1,821,0,0,0.86258284569,1.0901252398,66.649512029,1.0,0.42573770841,0.59793054146,0.17036704614,0.16031508581,1.0,0.064252052309,0.27511233231,0.023813289491,0.10908770003,4.0
822,-1,822,0,0,0.86284436228,1.0900769942,66.679300149,1.0,0.42546548828,0.59753613659,0.17026922664,0.16032527819,1.0,0.064282665724,0.27512822331,0.023871307591,0.10913734686,4.0
823,-1,823,0,0,0.86310509271,1.0900293003,66.709368292,1.0,0.42519341248,0.59714357904,0.17017196474,0.16033538627,1.0,0.064311645294,0.27513795401,0.023929646089,0.10918772891,4.0
824,-1,824,0,0,0.86336499451,1.0899821627,66.7397214,1.0,0.42492164985,0.59675284614,0.17007470116,0.16034489474,1.0,0.064341749248,0.27516193285,0.023987293665,0.10923659918,4.0
825,-1,825,0,0,0.86362403172,1.0899355863,66.770364263,1.0,0.42461315146,0.59636920004,0.16997869399,0.16035415275,1.0,0.064371615229,0.27518758876,0.024044606671,0.10928509952,4.0
826,-1,826,0,0,0.86388216989,1.0898895753,66.801301686,1.0,0.42439643847,0.59598819603,0.1698836072,0.16036229304,1.0,0.064393609921,0.27522670517,0.024105728158,0.10933083552,4.0
827,-1,827,0,0,0.86413937898,1.0898441348,66.832538113,1.0,0.42411380787,0.59560854833,0.16978839928,0.16037078185,1.0,0.064422372488,0.27524329751,0.024162813769,0.10937894063,4.0
828,-1,828,0,0,0.86439563093,1.0897992694,66.86407796,1.0,0.42383245372,0.59523750524,0.16969496072,0.16037901877,1.0,0.064450872246,0.27526149952,0.02421954417,0.1094266644,4.0
829,-1,829,0,0,0.86465090239,1.0897549836,66.895925455,1.0,0.42361063117,0.59486800623,0.16960180655,0.16038508921,1.0,0.064482370951,0.27527901185,0.024269352524,0.10947449869,4.0
830,-1,830,0,0,0.86490517469,1.0897112822,66.928084505,1.0,0.4233108002,0.59450120938,0.16950906774,0.16039597689,1.0,0.064510085596,0.27530315639,0.024322763317,0.10952113263,4.0
831,-1,831,0,0,0.86515843361,1.0896681696,66.96055883,1.0,0.4231004393,0.59414204003,0.16941809999,0.1604065852,1.0,0.06453751985,0.27532884668,0.024375784262,0.10956736476,4.0
832,-1,832,0,0,0.86541067,1.0896256503,66.993351853,1.0,0.42283863992,0.5937846183,0.1693269898,0.16041765752,1.0,0.064563412979,0.27539302215,0.024427117453,0.10961953262,4.0
833,-1,833,0,0,0.86566188134,1.0895837286,67.026466659,1.0,0.42258451745,0.59343088121,0.16923694029,0.16042752989,1.0,0.06459076482,0.27540386526,0.024479754574,0.10966454483,4.0
834,-1,834,0,0,0.86591207008,1.0895424084,67.059906,1.0,0.4223766548,0.59308404326,0.1691482551,0.16043712436,1.0,0.064617834168,0.27541721544,0.024531984349,0.10970913723,4.0
835,-1,835,0,0,0.86616124467,1.0895016937,67.093672227,1.0,0.42208441026,0.59273871536,0.16905910049,0.16044653292,1.0,0.064644140252,0.27542601131,0.024585444631,0.10974844107,4.0
836,-1,836,0,0,0.86640942202,1.0894615881,67.12776728,1.0,0.4218870408,0.59239933718,0.16897221143,0.16045535835,1.0,0.064670132453,0.27544447613,0.024637360133,0.10979280346,4.0
837,-1,837,0,0,0.86665662437,1.089422095,67.162192663,1.0,0.42166779314,0.59206455253,0.16888570127,0.16046391002,1.0,0.064695823656,0.27546437439,0.024688855204,0.10983675107,4.0
